Predecessor_CID,Predecessor_Name,Successor_CID,Successor_Name,Transformation,Biosystem,Enzyme,Source_ID,Source,Source_Description,Dataset_DOI,Dataset_Description,Evidence_ID,Evidence_Description,Notes,Parent_SMILES,Metabolite_SMILES,meta_substrate_name,meta_substrate_cid,meta_substrate_inchikey,meta_substrate_inchi,meta_enzyme,meta_reaction_type,meta_biotransformation_type,meta_biosystem,meta_prod_name,meta_prod_cid,meta_prod_inchikey,meta_prod_inchi,meta_reference
5736,zotepine,12882299,Zotepine -oxide,S-oxidation of diarylthioether to sulfoxide / Human Phase I,Human,CYP1A1; CYP1A2; CYP2B6; CYP3A4; CYP3A5,BIOTID01246,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423",CYP1A1; CYP1A2; CYP2B6; CYP3A4; CYP3A5,CN(C)CCOC1=Cc2ccccc2Sc2ccc(cc12)Cl,CN(C)CCOC1=Cc2ccccc2S(=O)c2ccc(cc12)Cl,zotepine,5736,HDOZVRUNCMBHFH-UHFFFAOYSA-N,"InChI=1S/C18H18ClNOS/c1-20(2)9-10-21-16-11-13-5-3-4-6-17(13)22-18-8-7-14(19)12-15(16)18/h3-8,11-12H,9-10H2,1-2H3",CYP1A1; CYP1A2; CYP2B6; CYP3A4; CYP3A5,S-oxidation of diarylthioether to sulfoxide,Human Phase I,Human,Zotepine -oxide,12882299,GPQLECKPRFIPAC-UHFFFAOYSA-N,"InChI=1S/C18H18ClNO2S/c1-20(2)9-10-22-16-11-13-5-3-4-6-17(13)23(21)18-8-7-14(19)12-15(16)18/h3-8,11-12H,9-10H2,1-2H3","Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
5736,zotepine,13309858,Zotepine N-oxide,N-oxidation of aliphatic tertiary amine / Human Phase I,Human,CYP3A4,BIOTID01243,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423",CYP3A4,CN(C)CCOC1=Cc2ccccc2Sc2ccc(cc12)Cl,CN(=O)(C)CCOC1=Cc2ccccc2Sc2ccc(cc12)Cl,zotepine,5736,HDOZVRUNCMBHFH-UHFFFAOYSA-N,"InChI=1S/C18H18ClNOS/c1-20(2)9-10-21-16-11-13-5-3-4-6-17(13)22-18-8-7-14(19)12-15(16)18/h3-8,11-12H,9-10H2,1-2H3",CYP3A4,N-oxdation of aliphatic tertiary amine,Human Phase I,Human,Zotepine N-oxide,13309858,IZIOJMRQCYPVQW-UHFFFAOYSA-N,"InChI=1S/C18H18ClNO2S/c1-20(2,21)9-10-22-16-11-13-5-3-4-6-17(13)23-18-8-7-14(19)12-15(16)18/h3-8,11-12H,9-10H2,1-2H3","Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
5733,Zomepirac,154699595,Zomepirac O-glucuronide,O-glucuronidation of aliphatic acid / Human Phase II,Human,UGT,BIOTID01678,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Langendijk PN et al. (1984); Simultaneous determination of zomepirac and its major metabolite zomepirac glucuronide in human plasma and urine; J Chromatogr. 1984 May 11;307(2):371-9.,UGT,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(cc1)Cl,Cc1cc(CC(=O)OC2[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O2)O)O)O)n(C)c1C(=O)c1ccc(cc1)Cl,Zomepirac,5733,ZXVNMYWKKDOREA-UHFFFAOYSA-N,"InChI=1S/C15H14ClNO3/c1-9-7-12(8-13(18)19)17(2)14(9)15(20)10-3-5-11(16)6-4-10/h3-7H,8H2,1-2H3,(H,18,19)",UGT,O-glucuronidation of aliphatic acid,Human Phase II,Human,Zomepirac O-glucuronide,,FNGKIZYZSHHXJZ-DAZJWRSOSA-N,"InChI=1S/C21H22ClNO9/c1-9-7-12(23(2)14(9)15(25)10-3-5-11(22)6-4-10)8-13(24)31-21-18(28)16(26)17(27)19(32-21)20(29)30/h3-7,16-19,21,26-28H,8H2,1-2H3,(H,29,30)/t16-,17-,18+,19-,21?/m0/s1",Langendijk PN et al. (1984); Simultaneous determination of zomepirac and its major metabolite zomepirac glucuronide in human plasma and urine; J Chromatogr. 1984 May 11;307(2):371-9.
5732,zolpidem,154699860,methoxyzolpidem,Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring / Human Phase I,Human,CYP3A4; CYP1A2; CYP2D6,BIOTID01239,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675",CYP3A4(major); CYP1A2 (minor); CYP2D6 (minor),Cc1ccc(cc1)c1c(CC(=O)N(C)C)n2cc(C)ccc2n1,Cc1cn2c(CC(=O)N(C)C)c(c3ccc(cc3)CO)nc2cc1O,zolpidem,5732,ZAFYATHCZYHLPB-UHFFFAOYSA-N,"InChI=1S/C19H21N3O/c1-13-5-8-15(9-6-13)19-16(11-18(23)21(3)4)22-12-14(2)7-10-17(22)20-19/h5-10,12H,11H2,1-4H3",CYP3A4(major); CYP1A2 (minor); CYP2D6 (minor),Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring,Human Phase I,Human,methoxyzolpidem,5732,ZAFYATHCZYHLPB-UHFFFAOYSA-N,"InChI=1S/C19H21N3O/c1-13-5-8-15(9-6-13)19-16(11-18(23)21(3)4)22-12-14(2)7-10-17(22)20-19/h5-10,12H,11H2,1-4H3","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
60857,zolmitriptan,25241756,Zolmitriptan N-oxide,N-oxidation of aliphatic tertiary amine / Human Phase I,Human,CYP1A2,BIOTID01238,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423",CYP1A2,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=N3)O)cc12,CN(=O)(C)CCc1c[nH]c2ccc(C[C@H]3COC(=N3)O)cc12,zolmitriptan,60857,ULSDMUVEXKOYBU-ZDUSSCGKSA-N,"InChI=1S/C16H21N3O2/c1-19(2)6-5-12-9-17-15-4-3-11(8-14(12)15)7-13-10-21-16(20)18-13/h3-4,8-9,13,17H,5-7,10H2,1-2H3,(H,18,20)/t13-/m0/s1",CYP1A2,N-oxdation of aliphatic tertiary amine,Human Phase I,Human,Zolmitriptan N-oxide,25241756,GZYCQRZFJIZOKU-ZDUSSCGKSA-N,"InChI=1S/C16H21N3O3/c1-19(2,21)6-5-12-9-17-15-4-3-11(8-14(12)15)7-13-10-22-16(20)18-13/h3-4,8-9,13,17H,5-7,10H2,1-2H3,(H,18,20)/t13-/m0/s1","Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
60854,ziprasidone,15959407,Ziprasidone Sulfoxide,S-Oxidation / Human Phase I,Human,CYP3A4,BIOTID01234,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:10771452,CYP3A4,c1ccc2c(c1)c(ns2)N1CCN(CCc2cc3CC(=Nc3cc2Cl)O)CC1,c1ccc2c(c1)c(ns2=O)N1CCN(CCc2cc3CC(=Nc3cc2Cl)O)CC1,ziprasidone,60854,MVWVFYHBGMAFLY-UHFFFAOYSA-N,"InChI=1S/C21H21ClN4OS/c22-17-13-18-15(12-20(27)23-18)11-14(17)5-6-25-7-9-26(10-8-25)21-16-3-1-2-4-19(16)28-24-21/h1-4,11,13H,5-10,12H2,(H,23,27)",CYP3A4,S-Oxidation,Human Phase I,Human,,15959407,XYYQWGUKBVTGJQ-UHFFFAOYSA-N,"InChI=1S/C21H21ClN4O2S/c22-17-13-18-15(12-20(27)23-18)11-14(17)5-6-25-7-9-26(10-8-25)21-16-3-1-2-4-19(16)29(28)24-21/h1-4,11,13H,5-10,12H2,(H,23,27)",PMID:10771452
10220327,(-)-zileuton,95162932,Zileuton sulfoxide,Thiophene S-oxidation / Human Phase I,Human,CYP3A4,BIOTID00041,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675",CYP3A4,C[C@@H](c1cc2ccccc2s1)N(C(=N)O)O,C[C@@H](c1cc2ccccc2s1=O)N(C(=N)O)O,(-)-zileuton,10220327,MWLSOWXNZPKENC-ZETCQYMHSA-N,"InChI=1S/C11H12N2O2S/c1-7(13(15)11(12)14)10-6-8-4-2-3-5-9(8)16-10/h2-7,15H,1H3,(H2,12,14)/t7-/m0/s1",CYP3A4,Thiohene S-oxidation,Human Phase I,Human,Zileuton sulfoxide,95162932,KWEAXQJUQDQMNY-ISJKBYAMSA-N,"InChI=1S/C11H12N2O3S/c1-7(13(15)11(12)14)10-6-8-4-2-3-5-9(8)17(10)16/h2-7,15H,1H3,(H2,12,14)/t7-,17?/m0/s1","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
60490,Zileuton,71752997,Zileuton O-glucuronide,N-hydroxy glucuronidation / Human Phase II,Human,UGT1A9,BIOTID02005,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,https://www.drugbank.ca/metabolites/DBMET00141,UDP-glucuronosyltransferase 1-9,CC(c1cc2ccccc2s1)N(C(=N)O)O,CC(c1cc2ccccc2s1)N(C(=N)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O,Zileuton,60490,MWLSOWXNZPKENC-UHFFFAOYSA-N,"InChI=1S/C11H12N2O2S/c1-7(13(15)11(12)14)10-6-8-4-2-3-5-9(8)16-10/h2-7,15H,1H3,(H2,12,14)",UDP-glucuronosyltransferase 1-9,N-hydroxy glucuronidation,Human Phase II,Human,Zileuton O-glucuronide,71752997,CYYKQHWQVGZJRJ-UPZRFPAJSA-N,"InChI=1S/C17H20N2O8S/c1-7(10-6-8-4-2-3-5-9(8)28-10)19(17(18)25)27-16-13(22)11(20)12(21)14(26-16)15(23)24/h2-7,11-14,16,20-22H,1H3,(H2,18,25)(H,23,24)/t7?,11-,12-,13+,14-,16-/m0/s1",https://www.drugbank.ca/metabolites/DBMET00141
5720,zaltoprofen,154699512,Zaltoprofen S-oxide,S-oxidation of dialkylthioether to sulfoxide / Human Phase I,Human,CYP2C9,BIOTID01494,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3683",CYP2C9,CC(c1ccc2c(c1)CC(=O)c1ccccc1S2)C(=O)O,CC(c1ccc2c(c1)CC(=O)c1ccccc1S2=O)C(=O)O,Zaltoprofen,5720,MUXFZBHBYYYLTH-UHFFFAOYNA-N,"InChI=1S/C17H14O3S/c1-10(17(19)20)11-6-7-15-12(8-11)9-14(18)13-4-2-3-5-16(13)21-15/h2-8,10H,9H2,1H3,(H,19,20)",CYP2C9,S-oxidation of dialkylthioether to sulfoxide,Human Phase I,Human,Zaltoprofen S-oxide,,BMXFBJRSBWVAIU-UHFFFAOYSA-N,"InChI=1S/C17H14O4S/c1-10(17(19)20)11-6-7-15-12(8-11)9-14(18)13-4-2-3-5-16(13)22(15)21/h2-8,10H,9H2,1H3,(H,19,20)","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3683"
5699,xanthurenic acid,11522049,Xanthurenic acid 8-O-sulfate,O-sulfonation / Human Phase II,Human,SULT,BIOTID01905,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,http://www.hmdb.ca/metabolites/HMDB0059741,SULT,c1cc2c(cc(C(=O)O)nc2c(c1)O)O,c1cc2c(cc(C(=O)O)nc2c(c1)OS(=O)(=O)O)O,xanthurenic acid,5699,FBZONXHGGPHHIY-UHFFFAOYSA-N,"InChI=1S/C10H7NO4/c12-7-3-1-2-5-8(13)4-6(10(14)15)11-9(5)7/h1-4,12H,(H,11,13)(H,14,15)",SULT,O-sulfonation,Human Phase II,Human,,11522049,FNGKEPQCRRMUOC-UHFFFAOYSA-N,"InChI=1S/C10H7NO7S/c12-7-4-6(10(13)14)11-9-5(7)2-1-3-8(9)18-19(15,16)17/h1-4H,(H,11,12)(H,13,14)(H,15,16,17)",http://www.hmdb.ca/metabolites/HMDB0059741
